275	fchmod03	fchmod03 fchmod03
276	fchmod04	fchmod04 fchmod04
277	fchmod05	fchmod05 fchmod05
281	fchmodat01	fchmodat01 fchmodat01
282	fchmodat02	fchmodat02 fchmodat02
287	fchown01	fchown01 fchown01
289	fchown02	fchown02 fchown02
291	fchown03	fchown03 fchown03
295	fchown05	fchown05 fchown05
299	fchownat01	fchownat01 fchownat01
300	fchownat02	fchownat02 fchownat02
303	fcntl01	fcntl01 fcntl01
304	fcntl01_64	fcntl01_64 fcntl01_64
305	fcntl02	fcntl02 fcntl02
306	fcntl02_64	fcntl02_64 fcntl02_64
307	fcntl03	fcntl03 fcntl03
308	fcntl03_64	fcntl03_64 fcntl03_64
309	fcntl04	fcntl04 fcntl04
310	fcntl04_64	fcntl04_64 fcntl04_64
311	fcntl05	fcntl05 fcntl05
312	fcntl05_64	fcntl05_64 fcntl05_64
313	fcntl07	fcntl07 fcntl07
314	fcntl07_64	fcntl07_64 fcntl07_64
315	fcntl08	fcntl08 fcntl08
316	fcntl08_64	fcntl08_64 fcntl08_64
317	fcntl09	fcntl09 fcntl09
318	fcntl09_64	fcntl09_64 fcntl09_64
319	fcntl10	fcntl10 fcntl10
320	fcntl10_64	fcntl10_64 fcntl10_64
321	fcntl11	fcntl11 fcntl11
322	fcntl11_64	fcntl11_64 fcntl11_64
323	fcntl12	fcntl12 fcntl12
324	fcntl12_64	fcntl12_64 fcntl12_64
325	fcntl13	fcntl13 fcntl13
326	fcntl13_64	fcntl13_64 fcntl13_64
327	fcntl14	fcntl14 fcntl14
328	fcntl14_64	fcntl14_64 fcntl14_64
329	fcntl15	fcntl15 fcntl15
330	fcntl15_64	fcntl15_64 fcntl15_64
331	fcntl16	fcntl16 fcntl16
332	fcntl16_64	fcntl16_64 fcntl16_64
333	fcntl17	fcntl17 fcntl17
334	fcntl17_64	fcntl17_64 fcntl17_64
335	fcntl18	fcntl18 fcntl18
336	fcntl18_64	fcntl18_64 fcntl18_64
337	fcntl19	fcntl19 fcntl19
338	fcntl19_64	fcntl19_64 fcntl19_64
339	fcntl20	fcntl20 fcntl20
340	fcntl20_64	fcntl20_64 fcntl20_64
341	fcntl21	fcntl21 fcntl21
342	fcntl21_64	fcntl21_64 fcntl21_64
343	fcntl22	fcntl22 fcntl22
344	fcntl22_64	fcntl22_64 fcntl22_64
345	fcntl23	fcntl23 fcntl23
346	fcntl23_64	fcntl23_64 fcntl23_64
347	fcntl24	fcntl24 fcntl24
348	fcntl24_64	fcntl24_64 fcntl24_64
349	fcntl25	fcntl25 fcntl25
